"x";"y"
"141";7.4374806;51.7681743
"142";7.5416273;51.7867461
"143";6.8889119;51.5401046
"144";6.9158727;51.6032899
"145";6.967407;51.6693546
"146";7.0816567;51.546646
"147";7.09337;51.5580753
"148";7.121151;51.5931572
"149";7.1670684;51.6045726
"150";7.1706118;51.6064157
"151";7.1979746;51.6090879
"152";7.1972704;51.6118111
"153";7.2452249;51.6281362
"154";7.2620435;51.6310613
"155";7.2676053;51.6322154
"156";7.0948413;51.5570628
"157";7.0248963;51.5806218
"158";7.0088051;51.578871
"159";6.994073;51.570447
"160";6.9938153;51.5705106
"161";6.9899564;51.5716268
"162";7.3701679;52.2374897
"163";7.343676;52.1637168
"164";7.3757601;52.2389686
"165";7.3796896;52.2442326
"166";7.6470036;51.9637069
"167";7.656375;51.9670069
"168";7.6556713;51.9679287
"169";7.6660259;51.9931148
"170";7.6703946;51.9997834
"171";7.6874767;51.9930573
"172";7.3735159;52.2453706
"173";7.1288988;51.5316612
"174";7.7051595;51.9765439
"175";7.6765069;51.9708688
"176";7.4165826;52.2766618
"177";7.4287205;52.2788883
"178";7.4375896;52.0724045
"179";7.3954294;52.1183797
"180";7.6290519;51.9738726
"181";7.5979177;51.978609
"182";7.6012186;51.9765064
"183";7.6124275;51.9742547
"184";7.6126147;51.9712685
"185";7.6228165;51.9722731
"186";7.5171433;52.1725549
"187";7.5357775;52.1806548
"188";7.5413311;52.167832
"189";7.4344725;52.2798595
"190";7.4326736;52.2846175
"191";6.9908611;51.8944905
"192";7.4372779;52.2862494
"193";7.4408762;52.2870561
"194";7.4325956;52.2845818
"195";7.4343322;52.2798415
"196";7.4327845;52.2845293
"197";7.4326986;52.284503
"198";7.4373168;52.2861473
"199";7.4409485;52.2869231
"200";7.4407121;52.2870305
"201";7.4407656;52.286901
"202";7.4353147;52.2771286
"203";7.4345286;52.2797336
"204";7.4344003;52.2797227
"205";6.9265415;51.8200944
"206";6.9808231;51.8941053
"207";7.6235654;51.9746825
"208";7.4513191;52.2367521
"209";7.6312495;51.9700973
"210";7.6237368;51.9659441
"211";7.6328222;51.9730511
"212";7.6285275;51.9647097
"213";7.4402746;52.2682688
"214";7.4356331;52.2644371
"215";7.4435009;52.2709825
"216";7.4470316;52.2666821
"217";7.0413355;51.9380154
"218";7.4413465;52.2767679
"219";7.4452533;52.2795057
"220";7.4457737;52.2808214
"221";7.4447707;52.2819726
"222";7.4446245;52.281916
"223";7.4456505;52.2807539
"224";7.4450954;52.2795726
"225";7.4412734;52.2768465
"226";7.3795761;52.2404421
"227";7.3726615;52.2383553
"228";7.3769295;52.2370959
"229";7.3909515;52.2197305
"230";6.9188834;51.8852462
"231";6.8491212;51.8481582
"232";7.3408404;52.1525931
"233";7.3406381;52.1494381
"234";7.6134274;51.974292
"235";7.6300236;51.9641443
"236";7.1690972;52.2071219
"237";7.2288016;52.1463567
"238";7.4323535;52.2759604
"239";7.6026302;51.9595869
"240";7.606356;51.9495086
"241";7.3446509;52.1465439
"242";7.3903264;52.1275704
"243";6.9309908;51.9917691
"244";6.9487831;51.9834698
"245";6.8644746;51.859755
"246";6.8629009;51.8494793
"247";6.8637773;51.8442642
"248";6.8601084;51.8429122
"249";7.0398644;51.7925457
"250";7.3522864;51.6557634
"251";7.348115;51.6522646
"252";7.3371679;51.6571314
"253";7.345435;51.6576704
"254";7.2448578;51.6490231
"255";7.1600451;51.7789984
"256";7.2433891;51.7494754
"257";7.242453;51.7410984
"258";7.6111406;51.989199
"259";7.6217258;51.9935813
"260";7.6362133;51.9724869
"261";7.6363398;51.9724629
"262";7.6365353;51.9735305
"263";7.6427122;51.9775907
"264";7.149386;51.9314157
"265";7.4427046;51.7650699
"266";7.4439589;51.7678378
"267";7.3355502;52.149165
"268";7.3358827;52.14689
"269";7.4408707;52.2730399
"270";7.4388673;52.2759476
"271";7.4388278;52.2760854
"272";7.0444379;51.93737
"273";7.5836537;51.9267346
"274";7.5788513;51.9343589
"275";7.6454196;51.9676572
"276";7.6764707;51.9706778
"277";7.6835122;51.9721648
"278";7.5967406;51.9699618
"279";6.833646;51.7705233
"280";7.2350149;51.8646017
"281";7.3529657;51.9278668
"282";7.3986263;51.9101011
"283";7.5324423;51.9542208
"284";7.5322748;51.9556022
"285";7.6044018;52.0941457
"286";7.6154786;52.0852249
"287";7.8485664;52.1909041
"288";8.0332908;51.9808354
"289";7.288234;51.8240264
"290";7.2851368;51.8200806
"291";7.447609;51.7752039
"292";7.8273554;51.8444844
"293";7.8039671;51.9279304
"294";7.6408591;51.9711054
"295";7.6353699;51.9620349
"296";7.1973161;51.930817
"297";7.6770194;51.9731169
"298";7.618683;51.9745593
"299";7.610015;51.9741905
"300";6.6497202;51.8378446
"301";7.615112;51.9673142
"302";7.6122818;51.9672937
"303";7.6221909;51.9701648
"304";7.6096009;51.9614727
"305";7.5965348;51.9698422
"306";7.596571;51.9699794
"307";7.5989014;51.9647922
"308";7.6118226;51.9837249
"309";7.5988741;51.9649295
"310";7.5758576;51.9723916
"311";6.8438183;51.7854207
"312";7.5967099;51.9698279
"313";7.6197766;51.957631
"314";7.6095352;51.9714536
"315";7.6113883;51.9891886
"316";7.6349927;51.9597479
"317";7.6314991;51.9574118
"318";7.6326703;51.9585316
"319";6.8508156;51.9050935
"320";7.6326216;51.9537107
"321";7.6457544;51.9554989
"322";7.6365628;51.9528909
"323";7.894537;51.7664715
"324";7.617606;51.9652397
"325";7.8903566;51.7612793
"326";6.8676506;51.7482137
"327";6.8411473;51.7690816
"328";7.4929014;51.8569979
"329";7.4909376;51.8514222
"330";7.1778047;51.5698338
"331";7.2013805;51.5713174
"332";7.1961195;51.5707064
